M: 8
N: 15
Nun_Veiculos: 9
Capacidade_Total: 456
Demanda_Total: 227
Setup_Min: 1
Setup_Max: 99
Raio: 20
Circulos: 1
Tempo_Processamento_Min: 1
Tempo_Processamento_Max: 49
Demanda_Min: 10
Demanda_Max: 30
Priority_Factor: 0.2
Range_Factor_R: 0.8
U_factor: 2
ALpha: 0.2Replicao: 2
Tempos_Processamentos
0	0	1	0	2	0	3	0	4	0	5	0	6	0	7	0	
0	15	1	11	2	49	3	29	4	23	5	25	6	18	7	39	
0	35	1	14	2	11	3	49	4	26	5	34	6	41	7	22	
0	20	1	23	2	41	3	17	4	41	5	30	6	42	7	30	
0	48	1	29	2	19	3	34	4	15	5	19	6	35	7	35	
0	5	1	30	2	15	3	21	4	39	5	30	6	16	7	25	
0	9	1	46	2	33	3	13	4	27	5	2	6	18	7	18	
0	42	1	20	2	24	3	45	4	23	5	3	6	15	7	29	
0	3	1	12	2	20	3	27	4	18	5	5	6	9	7	17	
0	16	1	20	2	1	3	43	4	25	5	23	6	25	7	36	
0	22	1	23	2	12	3	40	4	43	5	40	6	48	7	7	
0	18	1	3	2	16	3	13	4	14	5	42	6	15	7	20	
0	37	1	31	2	6	3	3	4	34	5	9	6	15	7	30	
0	35	1	7	2	45	3	37	4	15	5	49	6	24	7	16	
0	34	1	12	2	27	3	36	4	33	5	7	6	31	7	16	
0	27	1	48	2	21	3	3	4	16	5	7	6	39	7	10	

Tempos_setup
M0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	41	14	34	29	37	25	21	7	20	41	30	37	32	6	
0	22	0	14	34	36	43	27	18	29	17	39	36	37	30	21	
0	46	27	0	20	38	29	13	26	38	33	57	22	25	31	40	
0	26	13	24	0	18	9	5	18	30	22	37	19	9	22	32	
0	43	24	13	23	0	32	26	5	17	12	19	1	24	33	19	
0	17	4	18	37	16	0	19	16	24	15	33	17	31	34	23	
0	33	34	27	47	55	53	0	25	33	32	73	46	12	25	39	
0	45	32	8	28	32	28	21	0	12	7	51	21	19	28	14	
0	47	34	7	27	22	30	20	20	0	27	41	23	32	38	32	
0	38	33	9	24	25	29	22	1	13	0	44	22	20	29	15	
0	27	5	19	4	22	13	9	22	34	22	0	23	13	26	26	
0	42	36	12	32	36	32	25	4	16	11	55	0	23	32	18	
0	38	22	15	35	43	41	28	13	21	20	61	34	0	13	27	
0	25	9	15	35	30	38	28	21	8	26	48	26	40	0	30	
0	34	52	40	51	43	56	53	32	41	39	47	44	51	60	0	
M1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	24	12	15	34	17	32	17	26	17	21	20	18	5	22	
